tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds,train_eval_loss,train_eval_acc
sweep_d1_lr2e-3,atan,0.5,1,3,0.130642,0.467502,0.873000,0.104711,0.431,nan,nan
sweep_d1_lr2e-3,atan,0.5,1,4,0.097378,0.441454,0.885000,0.105651,0.430,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,1,0.408474,0.535733,0.842100,0.091296,0.418,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,2,0.191691,0.431540,0.875600,0.097881,0.437,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,3,0.131501,0.450169,0.875100,0.102933,0.435,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,4,0.098031,0.437290,0.889600,0.104013,0.437,nan,nan
sweep_d1_lr2e-3,atan,1,1,1,0.360779,0.463916,0.862000,0.097910,0.481,nan,nan
sweep_d1_lr2e-3,atan,1,1,2,0.162437,0.444585,0.873100,0.102248,0.441,nan,nan
sweep_d1_lr2e-3,atan,1,1,3,0.108080,0.418807,0.890700,0.112875,0.450,nan,nan
sweep_d1_lr2e-3,atan,1,1,4,0.077992,0.467946,0.881800,0.110940,0.440,nan,nan
sweep_d1_lr2e-3,atan,1,2,1,0.360468,0.481424,0.860600,0.100965,0.435,nan,nan
sweep_d1_lr2e-3,atan,1,2,2,0.160354,0.418566,0.877900,0.106405,0.431,nan,nan
sweep_d1_lr2e-3,atan,1,2,3,0.108256,0.405704,0.889600,0.109748,0.438,nan,nan
sweep_d1_lr2e-3,atan,1,2,4,0.079868,0.438352,0.893800,0.113158,0.437,nan,nan
sweep_d1_lr2e-3,atan,2,1,1,0.340614,0.468360,0.856800,0.102459,0.470,nan,nan
sweep_d1_lr2e-3,atan,2,1,2,0.155979,0.427062,0.879100,0.106649,0.429,nan,nan
sweep_d1_lr2e-3,atan,2,1,3,0.105051,0.430844,0.878800,0.115396,0.431,nan,nan
sweep_d1_lr2e-3,atan,2,1,4,0.078845,0.453791,0.885800,0.121830,0.430,nan,nan
sweep_d1_lr2e-3,atan,2,2,1,0.331625,0.474429,0.861400,0.109905,0.429,nan,nan
sweep_d1_lr2e-3,atan,2,2,2,0.149522,0.433073,0.877400,0.112291,0.427,nan,nan
sweep_d1_lr2e-3,atan,2,2,3,0.101680,0.411538,0.886800,0.116507,0.426,nan,nan
sweep_d1_lr2e-3,atan,2,2,4,0.076999,0.458556,0.885500,0.123524,0.428,nan,nan
sweep_d2_lr5e-4,atan,0.5,1,1,0.532203,0.634967,0.801300,0.104085,0.770,nan,nan
sweep_d2_lr5e-4,atan,0.5,1,2,0.269185,0.535638,0.837200,0.098928,0.723,nan,nan
sweep_d2_lr5e-4,atan,0.5,1,3,0.192485,0.466291,0.864300,0.097361,0.721,nan,nan
sweep_d2_lr5e-4,atan,0.5,1,4,0.145854,0.471178,0.862800,0.098506,0.723,nan,nan
sweep_d2_lr5e-4,atan,0.5,2,1,0.529042,0.640811,0.799600,0.099239,0.734,nan,nan
sweep_d2_lr5e-4,atan,0.5,2,2,0.268018,0.519668,0.837500,0.100242,0.704,nan,nan
sweep_d2_lr5e-4,atan,0.5,2,3,0.193624,0.448514,0.867400,0.101137,0.721,nan,nan
sweep_d2_lr5e-4,atan,0.5,2,4,0.150771,0.434534,0.875000,0.094903,0.708,nan,nan
sweep_d2_lr5e-4,atan,1,1,1,0.478530,0.566890,0.822300,0.121428,0.748,nan,nan
sweep_d2_lr5e-4,atan,1,1,2,0.215597,0.470393,0.859700,0.118618,0.707,nan,nan
sweep_d2_lr5e-4,atan,1,1,3,0.143704,0.418005,0.880200,0.117734,0.720,nan,nan
sweep_d2_lr5e-4,atan,1,1,4,0.101430,0.407108,0.887500,0.118726,0.723,nan,nan
sweep_d2_lr5e-4,atan,1,2,1,0.473591,0.557653,0.829300,0.116412,0.729,nan,nan
sweep_d2_lr5e-4,atan,1,2,2,0.212409,0.455747,0.861100,0.114727,0.735,nan,nan
sweep_d2_lr5e-4,atan,1,2,3,0.145682,0.390660,0.889100,0.114770,0.741,nan,nan
sweep_d2_lr5e-4,atan,1,2,4,0.103456,0.389696,0.894300,0.112918,0.728,nan,nan
sweep_d2_lr5e-4,atan,2,1,1,0.434609,0.525229,0.837700,0.157697,0.804,nan,nan
sweep_d2_lr5e-4,atan,2,1,2,0.185818,0.442860,0.864300,0.154563,0.734,nan,nan
sweep_d2_lr5e-4,atan,2,1,3,0.118620,0.392238,0.889300,0.156135,0.728,nan,nan
sweep_d2_lr5e-4,atan,2,1,4,0.082148,0.397146,0.892100,0.153068,0.721,nan,nan
sweep_d2_lr5e-4,atan,2,2,1,0.434333,0.504454,0.851900,0.157150,0.716,nan,nan
sweep_d2_lr5e-4,atan,2,2,2,0.182482,0.419757,0.871600,0.151972,0.728,nan,nan
sweep_d2_lr5e-4,atan,2,2,3,0.118345,0.364291,0.897200,0.151264,0.723,nan,nan
sweep_d2_lr5e-4,atan,2,2,4,0.081957,0.376724,0.897800,0.147633,0.725,nan,nan
sweep_d2_lr1e-3,atan,0.5,1,1,0.446623,0.540244,0.832400,0.097418,0.790,nan,nan
sweep_d2_lr1e-3,atan,0.5,1,2,0.213075,0.475326,0.862400,0.096261,0.739,nan,nan
sweep_d2_lr1e-3,atan,0.5,1,3,0.146532,0.443246,0.875900,0.096735,0.720,nan,nan
sweep_d2_lr1e-3,atan,0.5,1,4,0.105598,0.433492,0.883900,0.098899,0.718,nan,nan
sweep_d2_lr1e-3,atan,0.5,2,1,0.446861,0.556341,0.831600,0.095508,0.730,nan,nan
sweep_d2_lr1e-3,atan,0.5,2,2,0.215888,0.460622,0.864300,0.095423,0.730,nan,nan
