tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
cnn_d1,cnn,1,0,63050,4,9,0.051342,0.425471,0.899500,0.614,0.031707,0.993900
cnn_d1,cnn,1,0,63050,4,10,0.043255,0.464040,0.897100,0.547,0.031590,0.990800
cnn_d1,cnn,1,0,63050,4,11,0.036741,0.504948,0.891700,0.653,0.024068,0.994700
cnn_d1,cnn,1,0,63050,4,12,0.030160,0.536910,0.891200,0.809,0.023823,0.993800
cnn_d1,cnn,1,0,63050,4,13,0.026680,0.537719,0.895900,0.912,0.020508,0.994800
cnn_d1,cnn,1,0,63050,4,14,0.020955,0.553070,0.896000,0.799,0.017688,0.995600
cnn_d1,cnn,1,0,63050,4,15,0.020808,0.601660,0.888000,0.813,0.016649,0.995800
cnn_d2,cnn,2,0,50186,1,1,0.280994,0.323314,0.905300,1.486,0.104726,0.969200
cnn_d2,cnn,2,0,50186,1,2,0.100191,0.294993,0.913000,1.021,0.076659,0.975700
cnn_d2,cnn,2,0,50186,1,3,0.067024,0.270145,0.930300,1.108,0.041462,0.986300
cnn_d2,cnn,2,0,50186,1,4,0.048656,0.261640,0.937300,1.015,0.031655,0.991700
cnn_d2,cnn,2,0,50186,1,5,0.037039,0.267889,0.939000,1.118,0.022168,0.993800
cnn_d2,cnn,2,0,50186,1,6,0.025949,0.278406,0.939000,1.004,0.018282,0.995200
cnn_d2,cnn,2,0,50186,1,7,0.020205,0.313502,0.939100,1.000,0.014581,0.995600
cnn_d2,cnn,2,0,50186,1,8,0.018258,0.360297,0.936300,1.007,0.016171,0.994000
cnn_d2,cnn,2,0,50186,1,9,0.017362,0.396482,0.935800,1.091,0.015550,0.994700
cnn_d2,cnn,2,0,50186,1,10,0.013582,0.391433,0.934600,0.953,0.011884,0.995800
cnn_d2,cnn,2,0,50186,1,11,0.011264,0.404796,0.932300,0.942,0.014416,0.994700
cnn_d2,cnn,2,0,50186,1,12,0.010165,0.432005,0.940400,0.919,0.008607,0.997100
cnn_d2,cnn,2,0,50186,1,13,0.010170,0.431826,0.937900,0.856,0.008627,0.997300
cnn_d2,cnn,2,0,50186,1,14,0.011812,0.491602,0.936600,1.067,0.010186,0.996600
cnn_d2,cnn,2,0,50186,1,15,0.009212,0.554012,0.931000,1.122,0.017594,0.993500
cnn_d2,cnn,2,0,50186,2,1,0.305313,0.342468,0.903700,0.956,0.114056,0.965700
cnn_d2,cnn,2,0,50186,2,2,0.108213,0.273331,0.925100,1.098,0.065020,0.981700
cnn_d2,cnn,2,0,50186,2,3,0.071967,0.273799,0.927000,1.066,0.052152,0.984700
cnn_d2,cnn,2,0,50186,2,4,0.052998,0.273669,0.934300,0.978,0.037923,0.988200
cnn_d2,cnn,2,0,50186,2,5,0.039270,0.289023,0.938700,1.108,0.023012,0.993100
cnn_d2,cnn,2,0,50186,2,6,0.029889,0.311379,0.937400,1.056,0.018907,0.994100
cnn_d2,cnn,2,0,50186,2,7,0.023741,0.391418,0.923200,1.047,0.019965,0.994000
cnn_d2,cnn,2,0,50186,2,8,0.019725,0.387143,0.929000,1.062,0.015112,0.994500
cnn_d2,cnn,2,0,50186,2,9,0.018331,0.388247,0.933100,0.975,0.010169,0.996600
cnn_d2,cnn,2,0,50186,2,10,0.016937,0.404463,0.931500,1.169,0.018613,0.994000
cnn_d2,cnn,2,0,50186,2,11,0.015597,0.392189,0.940900,1.241,0.009835,0.996600
cnn_d2,cnn,2,0,50186,2,12,0.011050,0.415387,0.935900,0.819,0.010051,0.996200
cnn_d2,cnn,2,0,50186,2,13,0.011833,0.412519,0.938300,1.076,0.005190,0.998200
cnn_d2,cnn,2,0,50186,2,14,0.008996,0.460468,0.936400,1.094,0.006511,0.997500
cnn_d2,cnn,2,0,50186,2,15,0.011910,0.456719,0.938200,1.020,0.009098,0.996900
cnn_d2,cnn,2,0,50186,3,1,0.278221,0.348428,0.895000,0.981,0.124223,0.961300
cnn_d2,cnn,2,0,50186,3,2,0.100333,0.276444,0.921200,1.106,0.066000,0.980400
cnn_d2,cnn,2,0,50186,3,3,0.064556,0.251717,0.931900,1.073,0.041058,0.987700
cnn_d2,cnn,2,0,50186,3,4,0.045279,0.263731,0.935000,1.032,0.024519,0.993500
cnn_d2,cnn,2,0,50186,3,5,0.034848,0.274826,0.933100,1.098,0.027594,0.990300
cnn_d2,cnn,2,0,50186,3,6,0.025868,0.326611,0.932600,1.106,0.018875,0.992300
cnn_d2,cnn,2,0,50186,3,7,0.019030,0.357905,0.934600,1.106,0.014425,0.995500
cnn_d2,cnn,2,0,50186,3,8,0.018310,0.313562,0.937400,1.049,0.016254,0.994300
cnn_d2,cnn,2,0,50186,3,9,0.013668,0.353136,0.941500,0.801,0.011549,0.996800
cnn_d2,cnn,2,0,50186,3,10,0.014992,0.365750,0.938900,1.009,0.013959,0.995600
