tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,fast_sigmoid,25,1,4,0.114119,0.460937,0.878100,0.143521,1.937
sweep,fast_sigmoid,25,2,1,0.334765,0.495726,0.857300,0.146202,2.176
sweep,fast_sigmoid,25,2,2,0.168031,0.473131,0.866500,0.147605,1.972
sweep,fast_sigmoid,25,2,3,0.132742,0.440901,0.878600,0.149170,1.770
sweep,fast_sigmoid,25,2,4,0.113837,0.471746,0.880400,0.153781,1.913
sweep,fast_sigmoid,25,3,1,0.339960,0.446801,0.862900,0.150746,1.913
sweep,fast_sigmoid,25,3,2,0.176578,0.443964,0.869100,0.157751,1.902
sweep,fast_sigmoid,25,3,3,0.137805,0.461578,0.866200,0.149510,2.033
sweep,fast_sigmoid,25,3,4,0.116779,0.479312,0.869600,0.150326,2.619
sweep,atan,0.5,1,1,0.407575,0.529166,0.842600,0.094806,2.266
sweep,atan,0.5,1,2,0.194282,0.490412,0.857900,0.100979,2.416
sweep,atan,0.5,1,3,0.130675,0.468100,0.872800,0.104860,2.253
sweep,atan,0.5,1,4,0.097391,0.441744,0.884100,0.105840,2.552
sweep,atan,0.5,2,1,0.408489,0.535588,0.842300,0.091282,1.995
sweep,atan,0.5,2,2,0.191645,0.431408,0.875600,0.097910,2.489
sweep,atan,0.5,2,3,0.131594,0.452529,0.875600,0.103091,2.436
sweep,atan,0.5,2,4,0.097928,0.436278,0.889600,0.103652,2.611
sweep,atan,0.5,3,1,0.408480,0.524798,0.840600,0.093496,2.694
sweep,atan,0.5,3,2,0.191846,0.455664,0.868100,0.094651,2.161
sweep,atan,0.5,3,3,0.132672,0.451844,0.878300,0.098377,2.493
sweep,atan,0.5,3,4,0.094150,0.446560,0.886500,0.100017,2.662
sweep,atan,1,1,1,0.360788,0.464060,0.861600,0.097915,3.478
sweep,atan,1,1,2,0.162395,0.444096,0.872200,0.102116,2.609
sweep,atan,1,1,3,0.107848,0.419270,0.888700,0.111843,2.340
sweep,atan,1,1,4,0.077059,0.430649,0.888000,0.110453,2.328
sweep,atan,1,2,1,0.360467,0.481266,0.860700,0.100919,2.334
sweep,atan,1,2,2,0.160106,0.419516,0.878100,0.106315,2.480
sweep,atan,1,2,3,0.108272,0.408020,0.888600,0.108946,2.249
sweep,atan,1,2,4,0.081872,0.418576,0.896200,0.106526,2.077
sweep,atan,1,3,1,0.358563,0.461161,0.860800,0.103998,2.297
sweep,atan,1,3,2,0.162454,0.421226,0.879200,0.104912,1.918
sweep,atan,1,3,3,0.114542,0.450074,0.879800,0.113463,1.995
sweep,atan,1,3,4,0.077301,0.432153,0.891100,0.112173,2.045
sweep,atan,2,1,1,0.340598,0.469145,0.857800,0.102356,2.370
sweep,atan,2,1,2,0.156253,0.428907,0.875300,0.105731,2.215
sweep,atan,2,1,3,0.104999,0.431902,0.880100,0.113099,2.377
sweep,atan,2,1,4,0.076537,0.468926,0.882000,0.116495,2.016
sweep,atan,2,2,1,0.331468,0.467554,0.863700,0.108714,2.244
sweep,atan,2,2,2,0.149746,0.437367,0.877400,0.120756,1.912
sweep,atan,2,2,3,0.103933,0.431493,0.886100,0.118002,2.116
sweep,atan,2,2,4,0.077670,0.430727,0.894800,0.120067,1.879
sweep,atan,2,3,1,0.331345,0.446517,0.868400,0.116630,1.957
sweep,atan,2,3,2,0.151765,0.425472,0.879100,0.116658,2.178
sweep,atan,2,3,3,0.105565,0.423890,0.886100,0.121266,1.811
sweep,atan,2,3,4,0.081913,0.451024,0.882500,0.122241,1.823
sweep,atan,5,1,1,0.334227,0.466964,0.858500,0.109749,2.103
sweep,atan,5,1,2,0.156337,0.449519,0.870400,0.119681,1.998
sweep,atan,5,1,3,0.112645,0.471587,0.875400,0.120006,2.179
sweep,atan,5,1,4,0.088821,0.466281,0.882700,0.120058,1.928
sweep,atan,5,2,1,0.323229,0.458657,0.864900,0.122051,1.918
sweep,atan,5,2,2,0.157395,0.444818,0.870600,0.115521,1.780
sweep,atan,5,2,3,0.110885,0.390943,0.893000,0.122234,1.864
sweep,atan,5,2,4,0.087580,0.446290,0.881900,0.116146,2.200
sweep,atan,5,3,1,0.328029,0.438724,0.867600,0.127478,1.848
sweep,atan,5,3,2,0.158984,0.403227,0.882900,0.125011,1.866
sweep,atan,5,3,3,0.113662,0.462004,0.872000,0.119814,2.118
sweep,atan,5,3,4,0.090237,0.464749,0.881500,0.128152,1.864
sweep,atan,10,1,1,0.338076,0.463856,0.863600,0.121241,1.968
sweep,atan,10,1,2,0.162058,0.449806,0.873000,0.129862,1.942
sweep,atan,10,1,3,0.124241,0.448739,0.878200,0.124612,1.807
sweep,atan,10,1,4,0.097395,0.478982,0.872300,0.122759,2.140
sweep,atan,10,2,1,0.326164,0.455413,0.865700,0.136561,2.254
sweep,atan,10,2,2,0.159809,0.481732,0.860200,0.138318,2.283
sweep,atan,10,2,3,0.115052,0.409460,0.884600,0.136024,2.264
sweep,atan,10,2,4,0.098926,0.433403,0.888000,0.131200,2.163
sweep,atan,10,3,1,0.328042,0.456820,0.861100,0.136745,1.948
sweep,atan,10,3,2,0.160358,0.438175,0.871700,0.132326,1.951
sweep,atan,10,3,3,0.123708,0.485467,0.867400,0.135336,1.938
sweep,atan,10,3,4,0.103754,0.438748,0.883700,0.136269,1.967
sweep,atan,25,1,1,0.347212,0.475663,0.853100,0.132870,2.068
sweep,atan,25,1,2,0.175789,0.470381,0.864600,0.146819,1.903
sweep,atan,25,1,3,0.133238,0.476518,0.865500,0.150327,2.092
sweep,atan,25,1,4,0.113188,0.478930,0.873400,0.150345,1.845
sweep,atan,25,2,1,0.330189,0.486697,0.855600,0.149006,2.163
sweep,atan,25,2,2,0.168084,0.470691,0.866800,0.147791,1.986
sweep,atan,25,2,3,0.128665,0.430566,0.882600,0.152240,2.013
sweep,atan,25,2,4,0.114838,0.478844,0.874200,0.160672,2.180
sweep,atan,25,3,1,0.335457,0.447434,0.864800,0.150502,1.808
sweep,atan,25,3,2,0.169590,0.431306,0.874700,0.148537,2.274
sweep,atan,25,3,3,0.133521,0.471870,0.866000,0.143267,2.103
sweep,atan,25,3,4,0.114661,0.461817,0.880300,0.149495,2.301
sweep,sigmoid,0.5,1,1,0.428165,0.539854,0.839400,0.096903,2.351
sweep,sigmoid,0.5,1,2,0.201538,0.486955,0.859100,0.103525,2.253
sweep,sigmoid,0.5,1,3,0.137504,0.454243,0.876400,0.113512,2.178
sweep,sigmoid,0.5,1,4,0.099866,0.475403,0.877800,0.108379,1.915
sweep,sigmoid,0.5,2,1,0.426586,0.566656,0.832800,0.094415,2.041
sweep,sigmoid,0.5,2,2,0.202738,0.462698,0.867800,0.103575,2.125
sweep,sigmoid,0.5,2,3,0.139473,0.443093,0.884100,0.111435,2.177
sweep,sigmoid,0.5,2,4,0.104149,0.437582,0.892900,0.112526,2.083
sweep,sigmoid,0.5,3,1,0.426762,0.548329,0.831900,0.095347,2.250
sweep,sigmoid,0.5,3,2,0.199268,0.458978,0.868500,0.097086,2.072
sweep,sigmoid,0.5,3,3,0.140563,0.476448,0.873000,0.104305,2.126
sweep,sigmoid,0.5,3,4,0.101254,0.458851,0.883300,0.105091,2.167
sweep,sigmoid,1,1,1,0.367085,0.478863,0.858200,0.104944,2.343
sweep,sigmoid,1,1,2,0.165863,0.438578,0.875500,0.113575,2.209
sweep,sigmoid,1,1,3,0.110871,0.434921,0.882600,0.124124,2.161
sweep,sigmoid,1,1,4,0.080014,0.459228,0.883000,0.117782,2.077
sweep,sigmoid,1,2,1,0.366909,0.491892,0.859300,0.106590,2.089
sweep,sigmoid,1,2,2,0.165871,0.436728,0.874200,0.109591,2.322
sweep,sigmoid,1,2,3,0.111566,0.412082,0.886200,0.120234,2.224
sweep,sigmoid,1,2,4,0.080660,0.442457,0.892500,0.119160,2.282
sweep,sigmoid,1,3,1,0.364693,0.468260,0.858100,0.108535,2.320
sweep,sigmoid,1,3,2,0.166114,0.425065,0.879200,0.112161,2.167
sweep,sigmoid,1,3,3,0.113823,0.448891,0.874900,0.117492,2.236
sweep,sigmoid,1,3,4,0.081946,0.445105,0.884500,0.116209,2.322
sweep,sigmoid,2,1,1,0.338079,0.484359,0.861600,0.110916,2.164
sweep,sigmoid,2,1,2,0.155634,0.456232,0.869900,0.115503,2.116
sweep,sigmoid,2,1,3,0.105083,0.415818,0.888400,0.120100,2.353
sweep,sigmoid,2,1,4,0.080797,0.452316,0.885700,0.117150,2.241
sweep,sigmoid,2,2,1,0.332739,0.469782,0.864200,0.117346,2.287
sweep,sigmoid,2,2,2,0.150047,0.454317,0.871100,0.122369,2.523
sweep,sigmoid,2,2,3,0.104086,0.400218,0.889800,0.118719,2.371
sweep,sigmoid,2,2,4,0.082164,0.442067,0.893000,0.129631,2.500
sweep,sigmoid,2,3,1,0.330565,0.443639,0.866300,0.117232,2.384
sweep,sigmoid,2,3,2,0.156618,0.454754,0.870100,0.124291,2.616
sweep,sigmoid,2,3,3,0.108260,0.455495,0.877600,0.127254,2.669
sweep,sigmoid,2,3,4,0.080112,0.484098,0.875000,0.124980,2.827
sweep,sigmoid,5,1,1,0.336118,0.486558,0.853700,0.110016,2.535
sweep,sigmoid,5,1,2,0.159072,0.456833,0.866700,0.117950,2.585
sweep,sigmoid,5,1,3,0.116541,0.431599,0.877800,0.121108,2.883
sweep,sigmoid,5,1,4,0.091921,0.426291,0.886200,0.123360,2.573
sweep,sigmoid,5,2,1,0.323804,0.479585,0.860200,0.133836,2.405
sweep,sigmoid,5,2,2,0.155531,0.437734,0.875200,0.123307,2.856
sweep,sigmoid,5,2,3,0.113652,0.408450,0.887700,0.121836,2.770
sweep,sigmoid,5,2,4,0.088588,0.459961,0.877000,0.123458,2.964
sweep,sigmoid,5,3,1,0.325124,0.450226,0.861400,0.124359,3.124
sweep,sigmoid,5,3,2,0.157212,0.418042,0.879200,0.123342,2.618
sweep,sigmoid,5,3,3,0.118142,0.422606,0.883900,0.118055,2.732
sweep,sigmoid,5,3,4,0.092811,0.442536,0.883300,0.124208,3.311
sweep,sigmoid,10,1,1,0.340486,0.484435,0.850100,0.123756,2.289
sweep,sigmoid,10,1,2,0.171025,0.466746,0.862000,0.119324,2.161
sweep,sigmoid,10,1,3,0.128361,0.455633,0.875000,0.127698,2.317
sweep,sigmoid,10,1,4,0.103849,0.450187,0.874900,0.125015,2.395
sweep,sigmoid,10,2,1,0.325759,0.464808,0.862600,0.132160,2.367
sweep,sigmoid,10,2,2,0.161446,0.445818,0.866200,0.128967,2.307
sweep,sigmoid,10,2,3,0.125886,0.432514,0.878400,0.133561,2.286
