tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,fast_sigmoid,25,1,4,0.057117,0.079079,0.975100,0.172143,2.598
sweep,fast_sigmoid,25,2,1,0.203611,0.115271,0.964000,0.169715,2.453
sweep,fast_sigmoid,25,2,2,0.094354,0.109973,0.966500,0.166532,2.178
sweep,fast_sigmoid,25,2,3,0.069505,0.087584,0.972900,0.160022,1.987
sweep,fast_sigmoid,25,2,4,0.059267,0.088865,0.974300,0.167468,2.838
sweep,fast_sigmoid,25,3,1,0.202937,0.102468,0.967200,0.167361,2.122
sweep,fast_sigmoid,25,3,2,0.091348,0.094546,0.971200,0.160630,1.940
sweep,fast_sigmoid,25,3,3,0.065959,0.099464,0.970400,0.161805,1.968
sweep,fast_sigmoid,25,3,4,0.057606,0.106953,0.966800,0.164620,2.071
sweep,atan,0.5,1,1,0.252031,0.137571,0.958800,0.096442,1.959
sweep,atan,0.5,1,2,0.115367,0.098090,0.969500,0.105941,1.916
sweep,atan,0.5,1,3,0.077507,0.095621,0.972400,0.111680,2.130
sweep,atan,0.5,1,4,0.059113,0.089580,0.974700,0.111020,1.899
sweep,atan,0.5,2,1,0.247114,0.135223,0.958700,0.100476,1.941
sweep,atan,0.5,2,2,0.113329,0.127645,0.961300,0.104779,1.849
sweep,atan,0.5,2,3,0.077986,0.088101,0.973300,0.102248,1.959
sweep,atan,0.5,2,4,0.059737,0.100570,0.970300,0.105860,2.002
sweep,atan,0.5,3,1,0.251264,0.139430,0.956700,0.091204,2.056
sweep,atan,0.5,3,2,0.114280,0.107654,0.968200,0.095093,2.125
sweep,atan,0.5,3,3,0.076877,0.104614,0.970200,0.094728,2.265
sweep,atan,0.5,3,4,0.056645,0.086636,0.974000,0.101462,2.046
sweep,atan,1,1,1,0.222914,0.112656,0.965100,0.110517,1.995
sweep,atan,1,1,2,0.095324,0.087419,0.974000,0.119795,2.095
sweep,atan,1,1,3,0.066063,0.083629,0.975700,0.125877,3.096
sweep,atan,1,1,4,0.047732,0.086841,0.976500,0.125427,2.458
sweep,atan,1,2,1,0.219492,0.116072,0.964200,0.110775,2.130
sweep,atan,1,2,2,0.092602,0.112836,0.966900,0.114380,2.228
sweep,atan,1,2,3,0.065731,0.084594,0.974700,0.114154,2.028
sweep,atan,1,2,4,0.046462,0.085652,0.975200,0.120959,2.168
sweep,atan,1,3,1,0.223469,0.111975,0.966300,0.109117,2.408
sweep,atan,1,3,2,0.093149,0.086190,0.973500,0.111789,2.132
sweep,atan,1,3,3,0.062303,0.102374,0.970200,0.119927,1.963
sweep,atan,1,3,4,0.044930,0.094341,0.971800,0.114651,2.900
sweep,atan,2,1,1,0.205930,0.110558,0.966200,0.129123,2.992
sweep,atan,2,1,2,0.085607,0.082708,0.974000,0.135517,2.687
sweep,atan,2,1,3,0.060832,0.079231,0.977100,0.137348,2.775
sweep,atan,2,1,4,0.044005,0.076646,0.977900,0.135241,2.725
sweep,atan,2,2,1,0.204039,0.105016,0.967200,0.124489,2.657
sweep,atan,2,2,2,0.084670,0.116773,0.963700,0.130374,2.859
sweep,atan,2,2,3,0.058325,0.080279,0.975000,0.122710,2.385
sweep,atan,2,2,4,0.042958,0.093752,0.973700,0.135973,2.511
sweep,atan,2,3,1,0.205877,0.106522,0.967400,0.121232,2.582
sweep,atan,2,3,2,0.086177,0.086606,0.974000,0.129371,2.622
sweep,atan,2,3,3,0.056223,0.106107,0.967900,0.131540,2.113
sweep,atan,2,3,4,0.046033,0.084002,0.975500,0.132116,2.125
